code,metric,axis,rate,trials,ref_bits,edit_distance,edit_rate
K3_R1_2,edit,flip,0,8,15856,0,0
K3_R1_2,edit,flip,0.01,8,15856,0,0
K3_R1_2,edit,flip,0.02,8,15856,10,0.00063067608
K3_R1_2,edit,flip,0.03,8,15856,66,0.0041624622
K3_R1_2,edit,flip,0.05,8,15856,159,0.01002775
K3_R1_2,edit,flip,0.07,8,15856,500,0.031533804
K3_R1_2,edit,flip,0.1,8,15856,1618,0.10204339
K3_R1_2,edit,flip,0.13,8,15856,2269,0.1431004
K3_R1_2,edit,flip,0.16,8,15856,3874,0.24432392
K3_R1_2,edit,erase,0,8,15856,0,0
K3_R1_2,edit,erase,0.1,8,15856,1,6.3067608e-05
K3_R1_2,edit,erase,0.2,8,15856,7,0.00044147326
K3_R1_2,edit,erase,0.3,8,15856,158,0.0099646821
K3_R1_2,edit,flip,0.2,8,15856,4349,0.27428103
K3_R1_2,edit,erase,0.4,8,15856,1085,0.068428355
K3_R1_2,edit,erase,0.5,8,15856,4141,0.26116297
K3_R1_2,edit,erase,0.6,8,15856,8973,0.56590565
K3_R1_2,edit,erase,0.7,8,15856,12761,0.80480575
K3_R1_2,edit,erase,0.8,8,15856,14999,0.94595106
K3_R1_2,edit,erase,0.9,8,15856,15725,0.99173814
K7_R1_2,edit,flip,0,8,15664,0,0
K7_R1_2,edit,flip,0.01,8,15664,0,0
K7_R1_2,edit,flip,0.02,8,15664,0,0
K7_R1_2,edit,flip,0.03,8,15664,4,0.00025536261
K7_R1_2,edit,flip,0.05,8,15664,97,0.0061925434
K7_R1_2,edit,flip,0.07,8,15664,345,0.022025026
K7_R1_2,edit,flip,0.1,8,15664,2639,0.16847549
K7_R1_2,edit,flip,0.13,8,15664,2913,0.18596782
K7_R1_2,edit,flip,0.16,8,15664,5341,0.34097293
K7_R1_2,edit,flip,0.2,8,15664,7679,0.49023238
K7_R1_2,edit,erase,0,8,15664,0,0
K7_R1_2,edit,erase,0.1,8,15664,0,0
K7_R1_2,edit,erase,0.2,8,15664,0,0
K7_R1_2,edit,erase,0.3,8,15664,8,0.00051072523
K7_R1_2,edit,erase,0.4,8,15664,382,0.02438713
K7_R1_2,edit,erase,0.5,8,15664,6040,0.38559755
K7_R1_2,edit,erase,0.6,8,15664,13862,0.88495914
K7_R1_2,edit,erase,0.7,8,15664,15574,0.99425434
K7_R1_2,edit,erase,0.8,8,15664,15662,0.99987232
K7_R1_3,edit,flip,0,8,15664,0,0
K7_R1_2,edit,erase,0.9,8,15664,15664,1
K7_R1_3,edit,flip,0.01,8,15664,0,0
K7_R1_3,edit,flip,0.02,8,15664,0,0
K7_R1_3,edit,flip,0.03,8,15664,0,0
K7_R1_3,edit,flip,0.05,8,15664,0,0
K7_R1_3,edit,flip,0.07,8,15664,0,0
K7_R1_3,edit,flip,0.1,8,15664,37,0.0023621042
K7_R1_3,edit,flip,0.13,8,15664,308,0.019662921
K7_R1_3,edit,flip,0.16,8,15664,1191,0.076034219
K7_R1_3,edit,erase,0,8,15664,0,0
K7_R1_3,edit,erase,0.1,8,15664,0,0
K7_R1_3,edit,flip,0.2,8,15664,5009,0.31977783
K7_R1_3,edit,erase,0.2,8,15664,0,0
K7_R1_3,edit,erase,0.3,8,15664,0,0
K7_R1_3,edit,erase,0.4,8,15664,0,0
K7_R1_3,edit,erase,0.5,8,15664,42,0.0026813075
K7_R1_3,edit,erase,0.6,8,15664,1009,0.06441522
K7_R1_3,edit,erase,0.7,8,15664,9955,0.63553371
K7_R1_3,edit,erase,0.8,8,15664,15287,0.97593207
K5_R1_5,edit,flip,0,8,15760,0,0
K5_R1_5,edit,flip,0.01,8,15760,0,0
K5_R1_5,edit,flip,0.02,8,15760,0,0
K5_R1_5,edit,flip,0.03,8,15760,0,0
K5_R1_5,edit,flip,0.05,8,15760,0,0
K7_R1_3,edit,erase,0.9,8,15664,15658,0.99961696
K5_R1_5,edit,flip,0.07,8,15760,0,0
K5_R1_5,edit,flip,0.1,8,15760,9,0.00057106599
K5_R1_5,edit,flip,0.13,8,15760,11,0.00069796954
K5_R1_5,edit,flip,0.16,8,15760,114,0.0072335025
K5_R1_5,edit,flip,0.2,8,15760,620,0.039340102
K5_R1_5,edit,erase,0,8,15760,0,0
K5_R1_5,edit,erase,0.1,8,15760,0,0
K5_R1_5,edit,erase,0.2,8,15760,0,0
K5_R1_5,edit,erase,0.3,8,15760,0,0
K5_R1_5,edit,erase,0.4,8,15760,0,0
K5_R1_5,edit,erase,0.5,8,15760,0,0
K5_R1_5,edit,erase,0.6,8,15760,5,0.00031725888
K5_R1_5,edit,erase,0.7,8,15760,220,0.013959391
K5_R1_5,edit,erase,0.8,8,15760,5003,0.31744924
K5_R1_5,edit,erase,0.9,8,15760,14750,0.93591371
